Tinh/TP,Quan/Huyen,PN,WC,area,floor,Tien_ich,price_
Hà Nội,Hà Đông,,,35.0,5.0,2,4.2
Hà Nội,Đống Đa,4.0,,34.0,4.0,2,3.8
TP Hồ Chí Minh,Thủ Đức,3.0,,50.0,3.0,2,4.5
TP Hồ Chí Minh,Gò Vấp,5.0,,64.0,5.0,2,7.7
Đồng Nai,Biên Hòa,2.0,,200.0,1.0,2,7.2
Hải Phòng,Lê Chân,2.0,2.0,66.0,2.0,2,19.1
Hà Nội,Hà Đông,2.0,,39.0,4.0,3,4.7
TP Hồ Chí Minh,Quận 11,2.0,,25.0,5.0,1,5.4
TP Hồ Chí Minh,Hóc Môn,3.0,2.0,510.0,1.0,2,0.51
TP Hồ Chí Minh,Tân Phú,3.0,,48.0,3.0,1,3.9
Hải Phòng,Hồng Bàng,4.0,3.0,48.0,4.0,2,2.2
Bình Dương,Thuận An,2.0,0.0,53.0,1.0,0,1.2
TP Hồ Chí Minh,Thủ Đức,,,94.0,1.0,0,4.9
Hà Nội,Hà Đông,,,55.0,4.0,1,5.4
Hà Nội,Long Biên,4.0,4.0,55.0,5.0,1,6.7
Hải Phòng,Hồng Bàng,4.0,4.0,70.0,4.0,2,7.4
Hà Nội,Thanh Xuân,2.0,3.0,50.0,5.0,2,6.0
Hà Nội,Long Biên,,,130.0,8.0,1,9.1
TP Hồ Chí Minh,Tân Bình,2.0,2.0,63.0,2.0,3,5.9
TP Hồ Chí Minh,Bình Tân,2.0,1.0,45.0,2.0,4,3.8
Hải Phòng,Hồng Bàng,4.0,3.0,41.0,4.0,2,4.3
TP Hồ Chí Minh,Quận 11,4.0,0.0,48.0,4.0,1,6.8
TP Hồ Chí Minh,Tân Phú,2.0,,44.0,3.0,2,4.9
TP Hồ Chí Minh,Quận 12,,,115.0,1.0,2,7.9
TP Hồ Chí Minh,Tân Phú,2.0,0.0,40.0,2.0,4,3.6
TP Hồ Chí Minh,Gò Vấp,4.0,5.0,52.0,4.0,3,8.0
Hà Nội,Thanh Xuân,2.0,,42.0,4.0,2,5.9
TP Hồ Chí Minh,Quận 6,4.0,0.0,60.0,3.0,1,5.4
TP Hồ Chí Minh,Gò Vấp,4.0,4.0,48.0,3.0,5,4.6
TP Hồ Chí Minh,Quận 6,2.0,,45.0,2.0,0,3.7
Hà Nội,Cầu Giấy,,,65.0,7.0,2,30.0
Đồng Nai,Biên Hòa,3.0,1.0,150.0,2.0,3,11.0
TP Hồ Chí Minh,Quận 11,2.0,0.0,55.0,2.0,1,4.4
TP Hồ Chí Minh,Quận 11,3.0,0.0,48.0,2.0,2,2.9
TP Hồ Chí Minh,Quận 9,4.0,2.0,74.0,2.0,3,4.3
TP Hồ Chí Minh,Tân Bình,2.0,2.0,32.0,2.0,0,2.9
Đà Nẵng,Liên Chiểu,3.0,2.0,90.0,1.0,1,3.1
Hà Nội,Long Biên,3.0,,72.0,6.0,6,5.8
TP Hồ Chí Minh,Tân Bình,,,25.0,1.0,2,3.9
Hà Nội,Bắc Từ Liêm,4.0,4.0,36.0,5.0,0,4.8
Hà Nội,Hà Đông,,,40.0,4.0,1,5.2
Hà Nội,Đống Đa,3.0,,40.0,5.0,5,7.0
Hà Nội,Hà Đông,,,35.0,4.0,3,2.6
Hà Nội,Đống Đa,3.0,4.0,30.0,1.0,1,3.4
Hà Nội,Thanh Xuân,3.0,2.0,31.0,1.0,1,2.1
Hà Nội,Hai Bà Trưng,5.0,5.0,40.0,5.0,4,4.3
Hà Nội,Hoàng Mai,,,81.0,1.0,1,9.6
Hà Nội,Hà Đông,,,50.0,4.0,2,5.4
Đà Nẵng,Thanh Khê,3.0,3.0,90.0,1.0,2,5.1
Bình Dương,Thủ Dầu Một,2.0,2.0,100.0,2.0,1,1.1
TP Hồ Chí Minh,Bình Tân,,,330.0,2.0,3,29.0
Thừa Thiên Huế,Huế,3.0,4.0,80.0,3.0,1,5.1
Bình Dương,Bến Cát,2.0,2.0,100.0,2.0,3,1.1
Hà Nội,Long Biên,4.0,0.0,110.0,6.0,3,6.7
Hà Nội,Thanh Trì,,,60.0,5.0,1,9.3
TP Hồ Chí Minh,Hóc Môn,3.0,3.0,85.0,3.0,5,1.8
TP Hồ Chí Minh,Thủ Đức,2.0,,80.0,2.0,6,5.5
Hà Nội,Đống Đa,5.0,,40.0,7.0,1,6.2
TP Hồ Chí Minh,Bình Tân,4.0,,70.0,4.0,5,8.1
TP Hồ Chí Minh,Bình Tân,,,44.0,4.0,4,4.7
TP Hồ Chí Minh,Bình Tân,,,30.0,2.0,5,2.0
TP Hồ Chí Minh,Bình Tân,4.0,,60.0,4.0,6,6.8
TP Hồ Chí Minh,Gò Vấp,2.0,2.0,35.0,2.0,1,4.3
TP Hồ Chí Minh,Bình Thạnh,14.0,14.0,125.0,3.0,2,18.0
Hà Nội,Thanh Xuân,3.0,4.0,39.0,5.0,2,5.5
TP Hồ Chí Minh,Quận 4,4.0,,36.0,5.0,2,7.6
TP Hồ Chí Minh,Bình Thạnh,8.0,8.0,92.0,6.0,1,18.9
TP Hồ Chí Minh,Thủ Đức,2.0,,78.0,2.0,1,5.1
Bình Dương,Tân Uyên,2.0,3.0,62.0,2.0,4,3.9
Bình Dương,Tân Uyên,2.0,3.0,62.0,1.0,5,2.8
TP Hồ Chí Minh,Tân Phú,4.0,4.0,64.0,4.0,3,9.6
TP Hồ Chí Minh,Quận 9,4.0,3.0,54.0,3.0,3,4.4
TP Hồ Chí Minh,Quận 10,,,42.0,3.0,2,4.6
TP Hồ Chí Minh,Quận 3,,,53.0,6.0,2,14.7
Bình Dương,Bến Cát,2.0,2.0,70.0,2.0,1,0.5
TP Hồ Chí Minh,Tân Phú,3.0,3.0,38.0,4.0,2,5.2
TP Hồ Chí Minh,Tân Bình,3.0,3.0,49.0,2.0,0,6.2
TP Hồ Chí Minh,Quận 7,4.0,0.0,320.0,1.0,2,7.85
Hà Nội,Hai Bà Trưng,5.0,4.0,60.0,5.0,4,8.9
Hà Nội,Đống Đa,5.0,,41.0,4.0,2,6.1
Hà Nội,Đống Đa,,,95.0,5.0,5,22.0
TP Hồ Chí Minh,Tân Phú,3.0,2.0,70.0,3.0,5,4.0
TP Hồ Chí Minh,Bình Tân,5.0,5.0,87.0,2.0,2,6.6
TP Hồ Chí Minh,Quận 11,2.0,,51.0,2.0,0,3.7
TP Hồ Chí Minh,Quận 9,2.0,,80.0,1.0,2,5.0
TP Hồ Chí Minh,Quận 11,3.0,0.0,75.0,3.0,1,15.8
TP Hồ Chí Minh,Quận 9,3.0,0.0,60.0,2.0,2,5.1
Hà Nội,Cầu Giấy,4.0,,50.0,1.0,1,4.4
TP Hồ Chí Minh,Bình Tân,3.0,3.0,87.0,3.0,1,4.7
Hà Nội,Long Biên,4.0,,339.0,5.0,1,129.0
TP Hồ Chí Minh,Tân Bình,2.0,3.0,65.0,2.0,1,7.1
TP Hồ Chí Minh,Quận 3,3.0,3.0,46.0,3.0,1,4.9
Hà Nội,Đống Đa,4.0,3.0,40.0,4.0,4,3.6
TP Hồ Chí Minh,Thủ Đức,4.0,4.0,153.0,3.0,1,11.0
TP Hồ Chí Minh,Gò Vấp,4.0,5.0,32.0,4.0,5,5.5
TP Hồ Chí Minh,Quận 7,4.0,5.0,80.0,3.0,2,7.8
TP Hồ Chí Minh,Gò Vấp,4.0,4.0,32.0,4.0,3,6.6
Hà Nội,Hoàng Mai,,,80.0,1.0,2,8.4
TP Hồ Chí Minh,Gò Vấp,3.0,3.0,45.0,4.0,3,5.1
Hà Nội,Long Biên,4.0,4.0,73.0,4.0,2,9.0
TP Hồ Chí Minh,Quận 11,5.0,,57.0,3.0,1,5.0
TP Hồ Chí Minh,Quận 3,3.0,4.0,55.0,5.0,4,6.9
TP Hồ Chí Minh,Quận 3,3.0,4.0,56.0,5.0,4,8.0
Hà Nội,Hoàng Mai,,,78.0,1.0,1,10.4
TP Hồ Chí Minh,Gò Vấp,3.0,4.0,58.0,3.0,4,6.6
TP Hồ Chí Minh,Quận 11,,,40.0,1.0,1,8.4
Đồng Nai,Biên Hòa,3.0,2.0,126.0,2.0,3,3.6
TP Hồ Chí Minh,Gò Vấp,3.0,2.0,60.0,2.0,4,6.3
Đà Nẵng,Liên Chiểu,3.0,2.0,90.0,1.0,2,2.5
TP Hồ Chí Minh,Quận 7,3.0,4.0,64.0,3.0,0,7.4
Hà Nội,Cầu Giấy,4.0,5.0,45.0,1.0,0,8.3
TP Hồ Chí Minh,Thủ Đức,2.0,,77.0,2.0,1,5.7
TP Hồ Chí Minh,Hóc Môn,2.0,1.0,90.0,1.0,5,0.9
Hà Nội,Đống Đa,4.0,,40.0,4.0,3,3.9
Hà Nội,Đống Đa,2.0,,45.0,5.0,3,6.6
Hà Nội,Hai Bà Trưng,2.0,,42.0,3.0,1,3.7
Hà Nội,Thanh Xuân,3.0,3.0,30.0,4.0,2,4.3
Hải Phòng,Lê Chân,4.0,4.0,101.0,4.0,1,10.5
Hà Nội,Long Biên,5.0,,46.0,5.0,4,6.3
TP Hồ Chí Minh,Phú Nhuận,5.0,0.0,36.0,3.0,4,7.1
Hà Nội,Đông Anh,,,100.0,2.0,4,15.0
Bình Dương,Tân Uyên,2.0,3.0,61.0,2.0,1,1.7
Bình Dương,Tân Uyên,2.0,3.0,61.0,2.0,0,1.9
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,40.0,2.0,2,3.7
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,44.0,2.0,2,3.5
TP Hồ Chí Minh,Thủ Đức,,,121.0,1.0,1,5.8
Hà Nội,Đống Đa,4.0,5.0,40.0,6.0,2,11.8
Hà Nội,Đống Đa,,,70.0,4.0,3,41.9
TP Hồ Chí Minh,Tân Bình,2.0,2.0,28.0,2.0,3,2.6
TP Hồ Chí Minh,Quận 11,3.0,,64.0,2.0,0,6.7
Hải Phòng,Hồng Bàng,4.0,3.0,47.0,4.0,3,3.4
Hà Nội,Ba Đình,3.0,4.0,33.0,1.0,2,6.4
Hà Nội,Nam Từ Liêm,2.0,3.0,28.0,1.0,2,3.9
Hà Nội,Đống Đa,3.0,4.0,31.0,5.0,2,4.0
Hà Nội,Thanh Xuân,4.0,4.0,49.0,5.0,2,5.9
Bình Dương,Tân Uyên,2.0,3.0,62.0,2.0,0,2.1
Hà Nội,Long Biên,4.0,0.0,77.0,6.0,4,13.8
Thừa Thiên Huế,Huế,3.0,3.0,92.0,1.0,3,4.6
TP Hồ Chí Minh,Tân Bình,2.0,3.0,32.0,3.0,3,4.1
Hà Nội,Hoàng Mai,3.0,4.0,36.0,1.0,1,5.3
Hà Nội,Đống Đa,4.0,3.0,42.0,4.0,2,3.5
TP Hồ Chí Minh,Bình Tân,,,288.0,6.0,3,42.0
TP Hồ Chí Minh,Bình Tân,,,196.0,6.0,4,26.0
TP Hồ Chí Minh,Bình Tân,,,252.0,5.0,3,26.0
Hải Phòng,Lê Chân,4.0,3.0,74.0,4.0,1,5.0
Đồng Nai,Vĩnh Cửu,3.0,2.0,96.0,1.0,3,950.0
TP Hồ Chí Minh,Quận 11,,,17.0,2.0,0,2.2
TP Hồ Chí Minh,Bình Tân,,,200.0,5.0,4,26.5
TP Hồ Chí Minh,Quận 2,6.0,6.0,80.0,4.0,1,18.0
TP Hồ Chí Minh,Bình Tân,,,384.0,5.0,4,35.0
Đồng Nai,Biên Hòa,3.0,2.0,100.0,3.0,3,2.4
Ninh Thuận,Ninh Sơn,2.0,1.0,110.0,1.0,3,6.3
TP Hồ Chí Minh,Bình Tân,4.0,,56.0,4.0,6,6.5
TP Hồ Chí Minh,Bình Tân,,,60.0,4.0,5,6.1
TP Hồ Chí Minh,Tân Phú,4.0,4.0,90.0,3.0,3,6.1
Đồng Nai,Biên Hòa,3.0,2.0,100.0,2.0,4,1.9
TP Hồ Chí Minh,Tân Phú,2.0,,81.0,2.0,2,5.4
TP Hồ Chí Minh,Bình Thạnh,4.0,4.0,40.0,4.0,3,8.4
TP Hồ Chí Minh,Bình Tân,3.0,0.0,61.0,3.0,1,4.1
TP Hồ Chí Minh,Quận 11,2.0,,22.0,2.0,0,2.7
Hà Nội,Hai Bà Trưng,3.0,4.0,38.0,1.0,1,3.4
Hà Nội,Hai Bà Trưng,3.0,3.0,45.0,3.0,2,2.4
Hà Nội,Cầu Giấy,3.0,4.0,33.0,5.0,2,4.6
TP Hồ Chí Minh,Bình Thạnh,3.0,3.0,38.0,3.0,3,3.9
Hà Nội,Cầu Giấy,,,65.0,1.0,2,6.1
TP Hồ Chí Minh,Bình Thạnh,4.0,4.0,80.0,3.0,2,8.8
TP Hồ Chí Minh,Hóc Môn,3.0,3.0,100.0,2.0,4,2.1
TP Hồ Chí Minh,Bình Thạnh,2.0,2.0,42.0,2.0,0,5.2
TP Hồ Chí Minh,Bình Thạnh,3.0,2.0,44.0,4.0,1,6.6
Đà Nẵng,Ngũ Hành Sơn,2.0,,65.0,1.0,3,2.8
Hà Nội,Hai Bà Trưng,5.0,4.0,90.0,5.0,4,13.9
TP Hồ Chí Minh,Gò Vấp,2.0,2.0,30.0,2.0,1,4.7
TP Hồ Chí Minh,Tân Phú,2.0,2.0,45.0,2.0,0,4.9
TP Hồ Chí Minh,Gò Vấp,4.0,5.0,51.0,6.0,3,10.9
Hà Nội,Đống Đa,4.0,,50.0,4.0,3,9.4
Cà Mau,Cà Mau,3.0,3.0,160.0,1.0,2,4.5
TP Hồ Chí Minh,Gò Vấp,4.0,5.0,48.0,5.0,3,6.3
TP Hồ Chí Minh,Bình Tân,,,76.0,4.0,3,7.0
TP Hồ Chí Minh,Bình Tân,,,85.0,3.0,5,6.4
Hải Phòng,Hồng Bàng,4.0,3.0,48.0,4.0,1,3.5
TP Hồ Chí Minh,Bình Tân,,,44.0,2.0,5,3.9
TP Hồ Chí Minh,Bình Tân,,,40.0,4.0,5,5.1
TP Hồ Chí Minh,Bình Tân,4.0,,48.0,4.0,5,4.8
Bình Dương,Thuận An,4.0,4.0,61.0,3.0,4,3.5
TP Hồ Chí Minh,Bình Tân,4.0,,52.0,4.0,5,5.9
TP Hồ Chí Minh,Bình Tân,2.0,3.0,18.0,3.0,2,1.9
TP Hồ Chí Minh,Bình Tân,2.0,2.0,56.0,2.0,1,3.5
TP Hồ Chí Minh,Quận 10,2.0,2.0,80.0,2.0,3,6.4
TP Hồ Chí Minh,Gò Vấp,4.0,5.0,52.0,6.0,3,10.2
TP Hồ Chí Minh,Gò Vấp,5.0,2.0,105.0,2.0,1,8.9
Đà Nẵng,Sơn Trà,3.0,2.0,115.0,2.0,4,4.8
Hải Phòng,Hồng Bàng,4.0,5.0,48.0,5.0,2,6.0
Hải Phòng,Hồng Bàng,4.0,4.0,78.0,4.0,0,11.8
TP Hồ Chí Minh,Thủ Đức,2.0,0.0,56.0,2.0,1,5.2
TP Hồ Chí Minh,Bình Tân,,,36.0,2.0,3,2.8
TP Hồ Chí Minh,Bình Tân,,,50.0,3.0,3,4.5
TP Hồ Chí Minh,Quận 9,3.0,0.0,106.0,2.0,2,5.9
TP Hồ Chí Minh,Bình Tân,,,36.0,2.0,4,3.0
TP Hồ Chí Minh,Bình Tân,4.0,,50.0,4.0,5,6.0
TP Hồ Chí Minh,Bình Thạnh,2.0,3.0,35.0,3.0,1,3.8
TP Hồ Chí Minh,Bình Chánh,3.0,0.0,65.0,2.0,3,2.5
TP Hồ Chí Minh,Tân Phú,2.0,2.0,42.0,1.0,1,4.2
TP Hồ Chí Minh,Quận 11,,,20.0,2.0,0,1.8
TP Hồ Chí Minh,Tân Phú,2.0,2.0,30.0,3.0,3,4.5
Hà Nội,Đống Đa,4.0,3.0,60.0,4.0,3,9.9
Hà Nội,Đống Đa,4.0,6.0,51.0,7.0,4,11.5
Bình Dương,Tân Uyên,,,120.0,2.0,1,0.9
TP Hồ Chí Minh,Bình Tân,1.0,2.0,32.0,2.0,2,2.2
Bắc Ninh,Từ Sơn,,,120.0,1.0,4,6.5
Bình Dương,Thuận An,4.0,4.0,60.0,2.0,3,4.5
