dia_chi,latitude,longitude,price_
"Hà Nội, Hà Đông",20.9702189,105.7749566,3.3
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,2.5
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,6.3
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,7.0
"Hà Nội, Hà Đông",20.9702189,105.7749566,5.7
"TP Hồ Chí Minh, Quận 11",10.7659529,106.6475594370616,3.6
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,4.6
"Hải Phòng, Hồng Bàng",20.8763328,106.64442867897043,3.1
"Bình Dương, Thuận An",10.9035106,106.6990779,0.9
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,4.0
"Hà Nội, Hà Đông",20.9702189,105.7749566,4.7
"Hà Nội, Long Biên",21.0257066,105.8921527,5.1
"Hải Phòng, Hồng Bàng",20.8763328,106.64442867897043,8.5
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,5.9
"Hà Nội, Long Biên",21.0257066,105.8921527,11.8
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,7.0
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,3.2
"Hải Phòng, Hồng Bàng",20.8763328,106.64442867897043,4.8
"TP Hồ Chí Minh, Quận 11",10.7659529,106.6475594370616,4.4
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,3.5
"TP Hồ Chí Minh, Quận 12",10.861410750000001,106.66420925636413,7.1
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,3.5
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,8.6
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,5.8
"TP Hồ Chí Minh, Quận 6",10.745868250000001,106.63910717557408,5.5
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,6.1
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,4.1
"TP Hồ Chí Minh, Quận 6",10.745868250000001,106.63910717557408,3.0
"TP Hồ Chí Minh, Quận 11",10.7659529,106.6475594370616,3.4
"TP Hồ Chí Minh, Quận 11",10.7659529,106.6475594370616,4.0
"TP Hồ Chí Minh, Quận 9",10.8311346,106.7715507,3.4
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,3.0
"Đà Nẵng, Liên Chiểu",16.12039865,108.11323928681657,1.9
"Hà Nội, Long Biên",21.0257066,105.8921527,11.5
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,4.1
"Hà Nội, Bắc Từ Liêm",21.0533265,105.7342142,5.9
"Hà Nội, Bắc Từ Liêm",21.0533265,105.7342142,5.9
"Hà Nội, Hà Đông",20.9702189,105.7749566,3.8
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,7.5
"Hà Nội, Hà Đông",20.9702189,105.7749566,3.0
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,3.8
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,2.5
"Hà Nội, Hai Bà Trưng",21.012198,105.8552245,4.0
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,10.5
"Hà Nội, Hà Đông",20.9702189,105.7749566,5.6
"Đà Nẵng, Thanh Khê",16.071795950000002,108.20920548707869,5.9
"Đà Nẵng, Thanh Khê",16.071795950000002,108.20920548707869,4.9
"Bình Dương, Thủ Dầu Một",10.9808435,106.6537483,1.9
"Thừa Thiên Huế, Huế",16.4639321,107.5863388,5.1
"Bình Dương, Bến Cát",11.1319415,106.59996125428177,2.1
"Hà Nội, Long Biên",21.0257066,105.8921527,6.1
"Hà Nội, Thanh Trì",20.941461599999997,105.83603265035416,10.5
"TP Hồ Chí Minh, Hóc Môn",10.878345,106.57635314823773,3.7
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,7.0
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,5.0
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,5.9
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,8.8
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,6.4
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,4.4
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,3.0
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,5.1
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,4.0
"Hà Nội, Thanh Xuân",20.9936873,105.8143014,4.8
"TP Hồ Chí Minh, Quận 4",10.7607295,106.70710890359896,6.9
"TP Hồ Chí Minh, Thủ Đức",10.8298295,106.7617899,6.5
"Bình Dương, Tân Uyên",11.0600684,106.795688,4.0
"Bình Dương, Tân Uyên",11.0600684,106.795688,2.6
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,7.9
"TP Hồ Chí Minh, Quận 9",10.8311346,106.7715507,6.1
"TP Hồ Chí Minh, Quận 10",10.7726536,106.66821544343898,2.7
"Bình Dương, Bến Cát",11.1319415,106.59996125428177,0.5
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,4.4
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,6.0
"Hà Nội, Hai Bà Trưng",21.012198,105.8552245,8.8
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,8.7
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,7.7
"TP Hồ Chí Minh, Tân Phú",10.727068,106.7261695,5.6
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,6.9
"TP Hồ Chí Minh, Quận 11",10.7659529,106.6475594370616,3.9
"TP Hồ Chí Minh, Quận 9",10.8311346,106.7715507,5.6
"TP Hồ Chí Minh, Quận 9",10.8311346,106.7715507,4.1
"Hà Nội, Cầu Giấy",21.02916475,105.80343767219591,5.9
"TP Hồ Chí Minh, Bình Tân",10.6880043,106.5853289,5.4
"TP Hồ Chí Minh, Tân Bình",10.797672200000001,106.66523106900442,7.4
"TP Hồ Chí Minh, Quận 3",10.778752650000001,106.6870307478091,8.1
"TP Hồ Chí Minh, Quận 3",10.778752650000001,106.6870307478091,7.1
"Hà Nội, Đống Đa",21.0021476,105.83137430804737,4.1
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,6.3
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,7.5
"TP Hồ Chí Minh, Quận 7",10.737754800000001,106.72971280655217,7.5
"TP Hồ Chí Minh, Gò Vấp",10.8440568,106.6403038,6.0
"Hà Nội, Hoàng Mai",20.9755354,105.85744654567378,8.5
